rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,240810,원익IPS,KOSDAQ GLOBAL,3789277157200,반도체 제조용 기계,77200.0,71800.0,25.0,20.0,12.0,12,8.0,77.0,6.994818652849741,14.285714285714286,57.812598644938525,R,73480.0,66842.0,79967.87797324406,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -2}",oneil,Oops Reversal,77200.0,76190.0,1.3082901554404145,breakout,돌파,79967.87797324406,72677.87797324406,9.116160369341193,pullback,눌림목,73480.0,67648.0,7.93685356559608,3,7974962000.0,4223215000.0,2026-01-21 22:39,1,,0
2,006730,서부T&D,KOSDAQ,933649152740,석유류판매,14380.0,13229.6,23.0,15.0,20.0,12,7.0,77.0,8.0,76.47058823529412,28.002099103378416,B,12991.0,12063.2,14809.29257767565,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,14380.0,13737.5,4.468011126564673,breakout,돌파,14809.29257767565,13845.54257767565,6.507738265991249,pullback,눌림목,12991.0,12220.0,5.9348779924563155,3,4460020280.0,14926425840.0,2026-01-21 22:39,1,,0
3,044490,태웅,KOSDAQ,648239144400,자유형단조품,32400.0,29808.0,21.0,24.0,20.0,4,7.0,76.0,8.0,3.361344537815126,27.777825954951687,A,27870.0,26519.0,32171.769922398817,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,돌파,33048.0,30070.5,9.009622367465504,pullback,눌림목,27870.0,26476.5,5.0,oneil,오닐,32400.0,30415.0,6.1265432098765435,0,-2702045400.0,5533927000.0,2026-01-21 22:39,1,,0
4,278470,에이피알,KOSPI,9600963007500,"화장품, 피부미용기기 등",256500.0,235980.0,21.0,15.0,16.0,15,7.0,74.0,8.0,16.80672268907563,31.21922755220289,B,232650.0,238400.0,272294.51292186044,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,돌파,272294.51292186044,256263.26292186044,5.887467150173695,oneil,오닐,256500.0,245812.5,4.166666666666666,pullback,눌림목,232650.0,219825.0,5.51257253384913,5,91127503500.0,49843341500.0,2026-01-21 22:39,1,,0
5,388720,유일로보틱스,KOSDAQ,1134589115000,"취출로봇, 사출장비 및 자동화시스템",97000.0,89240.0,25.0,15.0,20.0,7,7.0,74.0,8.0,74.78991596638656,41.00617790542055,B,85670.0,84324.0,97182.9852465773,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Inside Day,97000.0,91885.0,5.27319587628866,breakout,돌파,97182.9852465773,89510.4852465773,7.894900512196623,pullback,눌림목,85670.0,79532.0,7.164701762577332,0,25030684700.0,15455779600.0,2026-01-21 22:39,1,,0
6,033100,제룡전기,KOSDAQ,644905721350,"송배전용금구류,변압기",40150.0,36150.0,24.0,25.0,18.0,4,3.0,74.0,9.9626400996264,10.92436974789916,32.63778848936024,B,37627.5,36413.0,40406.56585102318,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -7}",breakout,돌파,40406.56585102318,38081.56585102318,5.754015346347792,oneil,오닐,40150.0,38600.0,3.8605230386052307,pullback,눌림목,37627.5,36150.0,3.926649392066972,0,-3346200300.0,1554611650.0,2026-01-21 22:39,1,,0
7,140410,메지온,KOSDAQ,3057646139800,"발기부전증치료제, 전립선비대증치료제",100700.0,92644.0,25.0,10.0,20.0,12,7.0,74.0,8.0,55.46218487394958,40.92541887364355,-,92160.0,82246.0,103476.72008026236,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,100700.0,94820.0,5.839126117179742,breakout,돌파,103476.72008026236,94656.72008026236,8.523656328842577,pullback,눌림목,92160.0,85104.0,7.656250000000001,3,2861879200.0,2190779700.0,2026-01-21 22:39,1,,0
8,090360,로보스타,KOSDAQ,886275000000,"제조용 로봇, FPD 장비, IT부품 제조장비",90900.0,83628.0,22.0,15.0,20.0,9,7.0,73.0,8.0,36.134453781512605,21.1382120984514,B,78530.0,75368.0,92435.15061490699,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Inside Day,90900.0,84735.0,6.782178217821783,breakout,돌파,92435.15061490699,83187.65061490699,10.004311064008434,pullback,눌림목,78530.0,71132.0,9.420603590984337,1,21973206100.0,14362659200.0,2026-01-21 22:39,1,,0
9,001800,오리온홀딩스,KOSPI,1287363422100,자회사 관리 지주사업 등,20550.0,19220.0,22.0,20.0,10.0,11,8.0,71.0,6.472019464720194,4.201680672268908,50.162898511333836,R,20274.5,20276.0,21468.54747737987,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -2}",oneil,Inside Day,20550.0,20153.0,1.9318734793187347,pullback,눌림목,20274.5,19650.0,3.0802239266073146,breakout,돌파,21468.54747737987,20632.67247737987,3.893486510350604,5,2643831100.0,-279566100.0,2026-01-21 22:39,1,,0
10,097520,엠씨넥스,KOSPI,538576425000,"모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라",30950.0,29400.0,25.0,10.0,10.0,15,9.0,69.0,5.008077544426494,70.58823529411765,45.19848842987728,-,29790.0,28044.0,32417.246291213734,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""risk_deduction"": -1}",pullback,눌림목,29790.0,29550.0,0.8056394763343404,breakout,돌파,32417.246291213734,30523.496291213734,5.841797859657425,oneil,오닐,30950.0,30470.0,1.5508885298869144,5,4421439850.0,153383650.0,2026-01-21 22:40,1,,0
11,160190,하이젠알앤엠,KOSDAQ,2251735200000,"전동기 및 발전기 (범용모터, 서보모터)",72900.0,67068.0,22.0,5.0,20.0,15,7.0,69.0,8.0,42.016806722689076,24.28584946769306,B,59000.0,56628.0,68219.24998782971,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,72900.0,67650.0,7.20164609053498,breakout,돌파,74358.0,66483.0,10.590656015492616,pullback,눌림목,59000.0,52700.0,10.677966101694915,5,13134224200.0,28601951400.0,2026-01-21 22:40,1,,0
12,003550,LG,KOSPI,13556077321500,지주회사,87900.0,78600.0,23.0,20.0,10.0,15,1.0,69.0,10.580204778156997,5.042016806722689,26.098203380030792,R,83240.0,82448.0,87396.55750498289,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""risk_deduction"": -9}",breakout,돌파,89658.0,86118.0,3.9483370139864817,oneil,오닐,87900.0,85540.0,2.6848691695108076,pullback,눌림목,83240.0,80408.0,3.4022104757328204,5,16325537200.0,10497970400.0,2026-01-21 22:40,1,,0
13,082740,한화엔진,KOSPI,4472766811200,"대형선박용엔진,내연발전엔진",53600.0,49312.0,25.0,10.0,12.0,15,7.0,69.0,8.0,52.10084033613445,48.4048592832003,-,47970.0,44976.0,53807.51936717618,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",oneil,Oops Reversal,53600.0,52655.0,1.7630597014925375,breakout,돌파,53807.51936717618,49753.76936717618,7.533798338365474,pullback,눌림목,47970.0,44727.0,6.760475297060663,5,42027917100.0,3686558100.0,2026-01-21 22:40,1,,0
14,006400,삼성SDI,KOSPI,26109711720000,"2차전지, 전자재료 제조 판매",324000.0,298080.0,22.0,20.0,13.0,7,7.0,69.0,8.0,12.605042016806722,43.33445997176654,R,284725.0,296100.0,338413.97548738454,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,돌파,338413.97548738454,318782.72548738454,5.800957236392803,oneil,오닐,324000.0,310912.5,4.039351851851851,pullback,눌림목,284725.0,269020.0,5.515848625867065,0,76363840000.0,105835390500.0,2026-01-21 22:39,1,,0
15,083650,비에이치아이,KOSDAQ,1930929000000,"보일러,열교환기등",62400.0,57408.0,23.0,15.0,20.0,4,7.0,69.0,8.0,75.63025210084034,27.651619362039874,B,56170.0,51475.0,63646.976781874015,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,돌파,63646.976781874015,58546.976781874015,8.012949330615223,oneil,오닐,62400.0,59000.0,5.448717948717949,pullback,눌림목,56170.0,52090.0,7.263663877514688,0,-24695344000.0,30648720600.0,2026-01-21 22:39,1,,0
16,095660,네오위즈,KOSDAQ,552977444800,"피망,스페셜포스",25300.0,24700.0,22.0,20.0,12.0,4,10.0,68.0,2.371541501976284,0.0,21.52343235939951,R,25255.0,25251.0,26426.638516961906,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_safe"": 10}",pullback,눌림목,25255.0,24600.0,2.593545832508414,breakout,돌파,26426.638516961906,25099.138516961906,5.023340366002077,oneil,오닐,25300.0,23782.0,6.0,0,-455356550.0,358477650.0,2026-01-21 22:39,1,,0
17,298050,HS효성첨단소재,KOSPI,965428794000,PET타이어코드,215500.0,198260.0,22.0,10.0,13.0,15,7.0,67.0,8.0,58.8235294117647,40.179519987255944,-,190830.0,194908.0,211703.5155793996,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,215500.0,209047.5,2.994199535962877,breakout,돌파,219810.0,210131.25,4.403234611710113,pullback,눌림목,190830.0,183087.0,4.057538122936645,5,9142564500.0,567109500.0,2026-01-21 22:40,1,,0
18,085660,차바이오텍,KOSDAQ,1296095264640,"세포치료제 개발, 제대혈 보관 등",16320.0,15014.400000000001,24.0,15.0,18.0,3,7.0,67.0,8.0,73.10924369747899,37.35229303581052,B,14614.5,14223.0,16255.921740937789,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Inside Day,16320.0,15666.5,4.004289215686275,breakout,돌파,16646.4,15666.150000000001,5.888660611303345,pullback,눌림목,14614.5,13830.3,5.365903725751827,0,681023030.0,-8593247050.0,2026-01-21 22:39,1,,0
19,001440,대한전선,KOSPI,5015432370000,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사",26900.0,24950.0,25.0,10.0,17.0,7,7.0,66.0,7.24907063197026,38.65546218487395,51.81566035689759,-,25132.5,24042.0,27731.317126956645,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -3}",oneil,Inside Day,26900.0,26360.0,2.0074349442379185,breakout,돌파,27731.317126956645,25511.317126956645,8.005389682129508,pullback,눌림목,25132.5,23356.5,7.066547299313637,0,9473598250.0,4029067550.0,2026-01-21 22:39,1,,0
20,456040,OCI,KOSPI,631150897500,"폴리실리콘,타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",70500.0,64860.0,24.0,10.0,10.0,15,7.0,66.0,8.0,100.0,34.473204344876805,-,62965.0,61228.0,69152.43722617123,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""risk_deduction"": -3}",oneil,Oops Reversal,70500.0,67540.0,4.198581560283688,breakout,돌파,71910.0,67470.0,6.174384647476012,pullback,눌림목,62965.0,62500.0,0.7385055189390931,5,4103401000.0,1618177000.0,2026-01-21 22:40,1,,0
21,117730,티로보틱스,KOSDAQ,628677331200,"중대형 시스템, 중대형 로봇",28800.0,26496.0,25.0,5.0,20.0,9,7.0,66.0,8.0,67.22689075630252,43.25783624729225,B,21143.0,18634.6,24823.749963443886,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Inside Day,28800.0,26636.25,7.513020833333334,breakout,돌파,29376.0,26130.375,11.048560049019608,pullback,눌림목,21143.0,18546.5,12.280660265809015,2,4933366850.0,1536800250.0,2026-01-21 22:39,1,,0
22,071320,지역난방공사,KOSPI,1273661840000,"집단에너지공급 및 전기,증기 생산,판매",110000.0,95300.0,21.0,20.0,13.0,11,0.0,65.0,13.363636363636363,0.0,36.02129753888013,R,100175.0,104478.0,114339.984305147,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_deduction"": -10}",oneil,Inside Day,110000.0,106630.0,3.0636363636363635,breakout,돌파,114339.984305147,109284.984305147,4.421025619969803,pullback,눌림목,100175.0,96131.0,4.03693536311455,5,4967253700.0,-941305500.0,2026-01-21 22:40,1,,0
23,127120,제이에스링크,KOSDAQ,674039922600,"유전체분석(EGIS), 개인유전체분석(DNAGPS)",20900.0,19228.0,17.0,20.0,12.0,9,7.0,65.0,8.0,5.042016806722689,13.67173233621368,R,18373.0,18481.0,21475.033011268966,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",breakout,돌파,21475.033011268966,19224.283011268966,10.480775507161852,oneil,오닐,20900.0,19399.5,7.179425837320574,pullback,눌림목,18373.0,16572.4,9.80025036738692,1,4164379020.0,2089584770.0,2026-01-21 22:39,1,,0
24,000990,DB하이텍,KOSPI,3928464296400,반도체 제조,90300.0,83076.0,25.0,5.0,16.0,12,7.0,65.0,8.0,74.78991596638656,57.8435861132187,B,75510.0,69450.0,82813.669136961,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,90300.0,86465.0,4.246954595791805,pullback,눌림목,75510.0,70908.0,6.094557012316249,breakout,돌파,92106.0,86353.5,6.2455214643997135,3,7758242200.0,18868537700.0,2026-01-21 22:40,1,,0
25,005940,NH투자증권,KOSPI,8017748302500,"증권업,종합금융",22500.0,20750.0,23.0,20.0,10.0,5,7.0,65.0,7.777777777777778,8.403361344537815,29.097125325518004,R,21572.5,21273.0,22430.934626450442,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""risk_deduction"": -3}",breakout,돌파,22950.0,22035.0,3.986928104575163,oneil,오닐,22500.0,21890.0,2.711111111111111,pullback,눌림목,21572.5,20840.5,3.393208946575501,2,24586323100.0,-3587826600.0,2026-01-21 22:39,1,,0
26,055550,신한지주,KOSPI,39422188640800,금융지주회사,81200.0,76700.0,20.0,20.0,8.0,7,9.0,64.0,5.541871921182266,0.0,18.779513141755906,R,78645.0,78336.0,81741.56771150579,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 3, ""vol_today"": 5, ""risk_deduction"": -1}",oneil,Inside Day,81200.0,79320.0,2.315270935960591,pullback,눌림목,78645.0,76221.0,3.082204844554644,breakout,돌파,81741.56771150579,78711.56771150579,3.7068043650617466,0,32337017300.0,40085266700.0,2026-01-21 22:39,1,,0
27,131970,두산테스나,KOSDAQ GLOBAL,997285480800,반도체 테스트,51600.0,48950.0,25.0,10.0,8.0,12,9.0,64.0,5.135658914728682,19.327731092436974,56.283729008919956,-,50780.0,46821.0,54893.9817375356,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""risk_deduction"": -1}",pullback,눌림목,50780.0,47258.0,6.935801496652225,breakout,돌파,54893.9817375356,50491.4817375356,8.020004854174466,oneil,오닐,51600.0,51070.0,1.0271317829457365,4,5333919800.0,7104903600.0,2026-01-21 22:40,1,,0
28,009970,영원무역홀딩스,KOSPI,2618851978000,"스포츠의류(등산복,운동복,스키복) 도소매,수출,섬유봉제",194000.0,182600.0,22.0,3.0,18.0,12,9.0,64.0,5.876288659793814,75.63025210084034,22.75780422019726,C,191025.0,184152.0,218148.41792941128,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",oneil,오닐,194000.0,188630.0,2.768041237113402,pullback,눌림목,191025.0,182600.0,4.410417484622432,breakout,돌파,218148.41792941128,205188.41792941128,5.940909461096166,3,511203300.0,906207000.0,2026-01-21 22:40,1,,0
29,071050,한국금융지주,KOSPI,10069686754400,금융지주회사,180700.0,165000.0,25.0,20.0,6.0,8,5.0,64.0,8.688433868289984,6.722689075630252,44.57368485374816,R,170230.0,165598.0,183352.5986158695,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_deduction"": -5}",breakout,돌파,183352.5986158695,173002.5986158695,5.6448613644596515,oneil,오닐,180700.0,175710.0,2.761483121195351,pullback,눌림목,170230.0,165000.0,3.0723139282147685,4,29828824400.0,-15365941200.0,2026-01-21 22:39,1,,0
30,263750,펄어비스,KOSDAQ GLOBAL,2605250520250,온라인게임 개발 서비스(검은사막),40550.0,37500.0,25.0,10.0,15.0,7,7.0,64.0,7.52157829839704,25.210084033613445,69.6474686360817,-,38572.5,38002.0,40894.09906820978,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_deduction"": -3}",oneil,Inside Day,40550.0,39670.0,2.170160295930949,breakout,돌파,40894.09906820978,38966.59906820978,4.713393971059258,pullback,눌림목,38572.5,37030.5,3.9976667314796814,0,562135400.0,1794288050.0,2026-01-21 22:39,1,,0
31,056080,유진로봇,KOSDAQ,1282915598400,"청소로봇, 완구류외",34200.0,31464.0,25.0,5.0,20.0,6,7.0,63.0,8.0,100.0,51.15646720263448,B,18537.0,15077.8,24375.156557787697,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,34200.0,31582.5,7.6535087719298245,pullback,눌림목,18537.0,17150.0,7.4823326320332315,breakout,돌파,34884.0,30957.75,11.25515995872033,1,-10062865100.0,31452774500.0,2026-01-21 22:39,1,,0
32,012750,에스원,KOSPI,3020934651000,"부가통신 서비스(경비),안전관리용역,CCTV카메라",79500.0,70400.0,20.0,20.0,11.0,12,0.0,63.0,11.446540880503145,9.243697478991596,16.793335411976557,R,75515.0,75266.0,79150.75879174656,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_deduction"": -10}",breakout,돌파,81090.0,77325.0,4.64298927118017,oneil,오닐,79500.0,76990.0,3.1572327044025155,pullback,눌림목,75515.0,72503.0,3.9886115341322914,3,630331600.0,600936200.0,2026-01-21 22:40,1,,0
33,298040,효성중공업,KOSPI,21623626812000,-,2319000.0,2133480.0,21.0,20.0,3.0,12,7.0,63.0,8.0,5.042016806722689,36.98326572022545,R,1988350.0,1988620.0,2359129.033642033,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 3, ""risk_deduction"": -3}",oneil,Inside Day,2319000.0,2206250.0,4.8620094868477794,breakout,돌파,2359129.033642033,2190004.033642033,7.168959289136641,pullback,눌림목,1988350.0,1853050.0,6.804637010586667,3,29288700000.0,51706377000.0,2026-01-21 22:40,1,,0
34,064400,LG씨엔에스,KOSPI,6830459334000,"컨설팅, 시스템 구축/운영, 토탈 아웃소싱 및 AI, 클라우드·스마트팩토리 등 IT신기술 기반의 DX사업",70500.0,64860.0,22.0,10.0,20.0,4,7.0,63.0,8.0,51.260504201680675,39.298945741930574,-,64000.0,61930.0,70445.00665867371,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,70500.0,67915.0,3.6666666666666665,breakout,돌파,71910.0,68032.5,5.392156862745098,pullback,눌림목,64000.0,60800.0,5.0,0,-54070280400.0,25307567800.0,2026-01-21 22:39,1,,0
35,455900,엔젤로보틱스,KOSDAQ,589699553750,"재활 전문 웨어러블 로봇, 근력 보조 무동력 웨어러블 슈트, 일상생활 보조 웨어러블 로봇 등",38750.0,35650.0,24.0,5.0,18.0,9,7.0,63.0,8.0,57.983193277310924,36.0805191182478,B,32167.5,30814.0,35602.71997964167,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,38750.0,36310.0,6.296774193548386,pullback,눌림목,32167.5,30900.0,3.9403124271391934,breakout,돌파,39525.0,35865.0,9.259962049335863,1,8168416700.0,9519789200.0,2026-01-21 22:40,1,,0
